U_ID,Requirement,ID,Description
1,Measurement Accuracy,MA1,"The system SHALL measure its environmental parameters AS CLOSE AS POSSIBLE to their true values for optimal performance. MONITOR: environmental parameters, divergence between measured and true values. ENVIRONMENT: factors causing measurement errors."
1,Measurement Accuracy,MA2,"EVENTUALLY, the system SHALL correct any divergence in measured values from their true values. MONITOR: rate of measurement errors, correction speed. ENVIRONMENT: system noise, inaccuracies in measurement tools or methods."
1,Measurement Accuracy,MA3,The system SHALL detect and correct AS EARLY AS POSSIBLE any inaccuracies in the measurement tools or methods. MONITOR: performance of measurement tools and methods. ENVIRONMENT: condition and reliability of measurement tools and methods.
1,Decision-Making Accuracy,DMA1,The system SHALL strive to make AS CLOSE AS POSSIBLE to the optimal decisions based on the true values of environmental parameters. MONITOR: divergence between optimal and actual decisions. ENVIRONMENT: factors causing decision-making errors.
1,Decision-Making Accuracy,DMA2,"EVENTUALLY, the system SHALL correct any suboptimal decisions made due to inaccuracies in measured values. MONITOR: rate of decision-making errors, correction speed. ENVIRONMENT: system noise, inaccuracies in the measurement tools or methods."
1,Decision-Making Accuracy,DMA3,"The system SHALL detect and correct AS EARLY AS POSSIBLE any inaccuracies in decision-making due to inaccuracies in measurements. MONITOR: effectiveness of decision-making, rate of inaccuracies in measurements. ENVIRONMENT: system noise, inaccuracies in the measurement tools or methods."
1,System Performance Accuracy,SPA1,The system SHALL perform at a level AS CLOSE AS POSSIBLE to the optimal level based on accurate measurements. MONITOR: divergence between optimal and actual system performance. ENVIRONMENT: factors causing performance errors.
1,System Performance Accuracy,SPA2,"EVENTUALLY, the system SHALL correct any decrease in performance due to inaccuracies in measurements. MONITOR: rate of performance errors, correction speed. ENVIRONMENT: system noise, inaccuracies in the measurement tools or methods."
1,System Performance Accuracy,SPA3,"The system SHALL AS EARLY AS POSSIBLE detect and correct any decrease in performance due to inaccuracies in measurements. MONITOR: system performance, rate of inaccuracies in measurements. ENVIRONMENT: system noise, inaccuracies in the measurement tools or methods."
2,Adaptability,A1,"The system SHALL adapt to changes in the environment AS EARLY AS POSSIBLE after the change is detected. MONITOR: time to detect environmental changes, time to implement adaptations. ENVIRONMENT: dynamic conditions of the environment."
2,Adaptability,A2,"EVENTUALLY, the system SHALL adapt to any environmental change, regardless of its predictability. MONITOR: adaptability capability, types of environmental changes. ENVIRONMENT: the unpredictability level of the environment."
2,Adaptability,A3,"The system SHALL attempt to minimize the adaptation time AS EARLY AS POSSIBLE after a change is detected. MONITOR: detection time, adaptation time. ENVIRONMENT: speed and nature of environmental changes."
2,Response to Unforeseen Events,RUE1,"Upon detection of an unforeseen event, the system SHALL initiate a predetermined safety procedure AS EARLY AS POSSIBLE. MONITOR: frequency of unforeseen events, time to initiate safety procedures. ENVIRONMENT: conditions leading to unforeseen events."
2,Response to Unforeseen Events,RUE2,"EVENTUALLY, the system SHALL recover from an unforeseen event, returning to a safe state. MONITOR: time to recover, frequency of unforeseen events. ENVIRONMENT: aftermath conditions of unforeseen events."
2,Response to Unforeseen Events,RUE3,"The system SHALL minimize the number of AS MANY unforeseen events as possible by incorporating predictive measures. MONITOR: number of unforeseen events, effectiveness of predictive measures. ENVIRONMENT: factors leading to unforeseen events."
2,Exception Handling,EH1,"In the event of an exception, the system SHALL switch to a safe state and SHALL attempt to recover AS SOON AS POSSIBLE. MONITOR: frequency of exceptions, time to switch to safe state and recover. ENVIRONMENT: conditions causing exceptions."
2,Exception Handling,EH2,"EVENTUALLY, the system SHALL handle all exceptions, regardless of their complexity. MONITOR: frequency of exceptions, success rate of handling exceptions. ENVIRONMENT: types and complexity of exceptions."
