ID,NAME,CLASSIFICATION,CONTEXT,IMPACT,DEGREE OF SEVERITY,EVALUATION,ALSO KNOWN AS,SAMPLE ILLUSTRATION #1,SAMPLE ILLUSTRATION #2,SAMPLE ILLUSTRATION #3,SAMPLE ILLUSTRATION #4,SAMPLE ILLUSTRATION #5,SAMPLE ILLUSTRATION #6,
1,Inaccuracy,Run-Time,"Inaccuracy uncertainty refers to the situation in a system where there is a divergence between a measured value and its real value. This can occur in any part of the system where measurements are taken and used for decision-making or system adaptation. The divergence can be due to various factors such as measurement errors, system noise, or inaccuracies in the measurement tools or methods.","The impact of inaccuracy uncertainty is that it can lead to suboptimal decision-making and system behavior. As Self-Adaptive Systems rely on accurate measurements to make decisions and adapt, any divergence between the measured and real values can lead to decisions that are not optimal for the current state of the system. This could result in inefficient resource utilization, decreased system performance, or failure to meet system objectives.","LOW TO MEDIUM - The degree of severity of inaccuracy uncertainty can range from low to medium. It is low when these divergences occur infrequently or have a minor impact on system behavior. However, it can be medium when the system's functionality is significantly affected due to large or frequent divergences between measured and real values.","Inaccuracy uncertainty has a more profound impact on Self-Adaptive Systems (SAS) compared to non-SAS. SAS relies on accurate real-time measurements to adapt and make decisions, so inaccuracies can lead to suboptimal outcomes, affecting their effectiveness. In contrast, non-SAS operate in a static configuration, and inaccuracies in measurements, while they may affect record-keeping, do not directly influence system behavior. Therefore, while inaccuracy uncertainty is a concern in both types of systems, it is a more critical factor in the effectiveness of SAS.",To be determined,"HOGNA - The use of multiple cloud providers is mentioned in the examplar paper. Actions are performed based on the retrieved metrics. With multiple cloud providers you have multiple sources for the same metric which do not necessarily align resulting in inaccurate metrics. This could cause actions to fire too soon, too late, or be performed on the wrong instances.",,"
",,,,
2,Unpredictable Environment,Run-Time,"Unpredictable Environment uncertainty originates from the dynamic and often unforeseen conditions of the system's operational surroundings. It is closely tied to the run-time phase of the system, where it interacts continuously with the environment. The unpredictability is a result of the vast array of possible environmental conditions that the system may encounter, many of which cannot be fully anticipated or enumerated during the design phase. This context of uncertainty underscores the complex and evolving nature of the environment in which the SAS operates, highlighting the challenges of managing and adapting to an ever-changing landscape of conditions and events.","Given that Self-Adaptive Systems are designed to adapt to their environment, unpredictability can pose a challenge to their core functionality. The system may struggle to interpret or respond effectively to unforeseen events or conditions, which could potentially lead to suboptimal performance or even system failures. This uncertainty can also complicate the design and implementation of the system, as it adds a layer of complexity to the decision-making processes involved in system adaptation.","MEDIUM TO HIGH - Self-Adaptive Systems are designed to adapt to their environment in real-time, making decisions based on the current state of the system and its surroundings. When the environment is unpredictable, it introduces a level of uncertainty that can challenge the system's ability to make accurate and effective adaptations. In a medium severity scenario, the unpredictable environment might lead to suboptimal performance, as the system may not adapt as effectively as it could under predictable conditions. This could result in inefficiencies, slower response times, or less than optimal decision-making. In a maximum severity scenario, the unpredictable environment could lead to system failures. If the system encounters conditions that it cannot interpret or handle, it may not be able to adapt at all, leading to a breakdown in functionality.","In evaluating the ""unpredictable environment"" uncertainty, Self-Adaptive Systems (SAS) exhibit superior performance over non-SAS due to their inherent adaptability. SAS autonomously adjust to unforeseen conditions, enhancing their performance and reliability. This adaptability negates the need for manual intervention, allowing SAS to respond effectively to environmental changes. Conversely, non-SAS rely on predefined responses and manual decision-making, which can be less efficient and more error-prone. When confronted with unexpected events, non-SAS may struggle to respond effectively, potentially leading to performance issues or system failures. Additionally, SAS can incorporate latency into their decision-making processes, further enhancing their performance and effectiveness. In contrast, non-SAS may require manual intervention to manage latency, potentially leading to delays and reduced effectiveness. In summary, SAS's inherent adaptability enables them to handle the uncertainty of an ""unpredictable environment"" more effectively than non-SAS, resulting in improved performance and reliability.","To be determined, Exceptional runtime situation, Unknown Targets, Incomparable Objectives, Time to Execute, Delayed Reaction"," AMELIA - Consider a smart transportation system that relies on real-time tracking of vehicles to optimize routes and provide timely services. Unpredictable events such as traffic congestion, accidents, road closures, or sudden changes in user demand can significantly impact the system's ability to deliver efficient services. For example, a sudden surge in demand during a major event may lead to delays and disruptions, making it challenging for the system to maintain desired service levels and meet customer expectations","DARTSIM - The mission in this context is, finding targets which are located in a remote and hostile environment. Even though both targets and threats are static, neither their number nor their location is known before the mission is started. This information can only be discovered as the team flies during the mission, and even then, with some uncertainty. If the team flies closer to the groud, they are more likely to detect the targets, but also the probability of being destroyed by a threat is higher. The higher the team flies, the lower is the the probabiity of being shot down by threats, but the less likely they are able to detect targets. The probability of a team being destroyed by threats and the probability of detecting a target can be leveraged by adaptation managers to decide how to adapt. However, in many Smart Cyber Physical Systems (sCPS), using them quantitatively are faced with the problem of trading off two measures that are incomparable in principle, the survival of the team versus the maximization of targets detected. As a result, a decision approach that favors survival may be too conservative to detect enough targets. To simulate this trade-off, DARTSim includes a more complex example that uses these performance characteristics quantitatively with the PLA-SDP self-adaptation approach.","HOGNA - When we deploy software on new instances and configure it, new instances need to have the relevant software for the experiment installed and configured properly. Therefore, many unknown situations may occur during this process. And it can be proved especially challenging if multiple clouds are involved.","K8 scalar - In a related case study, the researchers tried for evaluating the possibility to accurately compare the performance of more complex scaling policies that require parallel analysis of multiple metrics.  Three Riemann-based strategies was configured in ARBA for this purpose. In order to meet SLO1, the mean and standard deviation of the ratio of requests with a latency should be below or equal to 5%. However, unexpected occurrence happened. Across all strategies, 25\% to 45\% of the requests have a latency higher than 150 ms which makes all the three Riemann-based strategies become ineffective in guaranteeing SLO1. Therefore, it may effecting how the adaptive scaling works.","mRubis - The instantiation of  the generic simulation framework for mRUBiS for the self-healing and self-optimization is shown by providing injectors, scenarios, validators, and utility functions.This instantiation is an online marketplace where users can sell or bid on products. The 18 components that make up mRubis allow it to host any number of shops. They authenticate users, store and retrieve data from the database, and manage items, users, auctions/purchases, inventory, and user ratings. It aims at self-healing and self-optimizing. Therefore, there can be quite significant changes in terms of the utility over time. A step chart of mRUBiS's utility over time with 50 shops is shown in Figure 5a. Since the utility declines, self-adaptation does not always work.
","TAS - TAS is getting the measurements of vital parameters of the end users. Then the data is sent to the Medical Analysis Service. In case of failure, the data cannot be analyzed. If there are no analysis results, other services (i.e., Drug Service and Alarm Service) cannot be invoked. Thus, even though TAS is operating. The end user cannot receive the service as such.If the Medical Analysis Service responds, the results of the analysis could be sent to Drug Service, e.g., to get new medication or new dose of the current treatment. If Drug Service is not responding, the end user cannot receive the services related to the medication. The Alarm Service can be invoked either from TAS (based on analysis results) or by the end user. If Alarm Service is not responding, it could lead to the situation when the end user would not the able to receive the emergency ambulance treatment. Eventually, it could lead to the death of the end user.Finally, if TAS is not responding, the end user is not able to receive the service as whole. 
",
3,Incomplete Information,Run-Time,"Incomplete Information uncertainty can occur in a variety of situations where there is a lack of comprehensive data or metrics to make informed decisions or evaluations. This uncertainty is not limited to any specific domain but can arise in different contexts. For example, in the operation of any system, there may be insufficient information available to evaluate the effectiveness of various adaptation strategies. While certain metrics are commonly used for decision-making, the absence of a specific measure or dimension of data creates a gap in the available information.This uncertainty can manifest as a missing or unidentified aspect of data, which often becomes apparent during the run-time process. Whether it's due to uncollected data or unconsidered variables, the presence of ""Incomplete Information"" represents the uncertainty stemming from the absence of crucial information needed for optimal decision-making or system operation.","Without additional information, this source of uncertainty can create an unresolvable state in a Self-Adaptive System that hinders it either from detecting when adaptation is necessary, or selecting the most appropriate reconfiguration strategy.","HIGH - Without comprehensive data, this uncertainty can lead to a state in the system that is difficult to resolve. It can impede the system's ability to detect when an adaptation is necessary, as the triggers for adaptation may be based on data that is missing or incomplete. Moreover, it can also hinder the system from selecting the most appropriate reconfiguration strategy. This is because the decision-making process in Self-Adaptive System often relies on a complete understanding of the current system state and the potential impacts of different strategies. Without this information, the system may choose suboptimal strategies or fail to adapt when necessary, leading to decreased system performance or even system failures.","The uncertainty can have different impacts on the effectiveness of Self-Adaptive System (SAS) and non-SAS. In SAS, the system is designed to adapt to changing conditions and make decisions based on available data. However, when there's incomplete information, such as missing metrics on power consumption, the system might make suboptimal or even incorrect adaptations. This could lead to inefficiencies or unexpected behaviors, undermining the system's adaptability and overall performance. On the other hand, in non-SAS, decisions are typically made manually based on a comprehensive understanding of the system and its context. Incomplete information in these systems could lead to incorrect decisions or missed opportunities for optimization. However, human operators might have the advantage of using their experience or intuition to fill in the gaps in the data, potentially mitigating the impact of this uncertainty to some extent.","Unmonitorable, known unknown","HOGNA - Consider a scenario where an instance provides satisfactory status information to the monitor, but becomes unavailable for the next request due to unforeseen circumstances. In this case, the only data available to the monitor is the previous state, indicating that the instance was functioning well. The cause of the sudden unavailability remains uncertain—it could be due to network unreliability, an issue with the instance itself, or even a problem with the monitor's network. As a result, it's challenging to take decisive action with complete confidence. If the instance is experiencing an issue that could be resolved by a specific action, such as a function of the Hogna system, this corrective measure may not be triggered. This is because the problem threshold isn't reached until the instance no longer suffers from the issue, thus leading to potential delays in problem resolution.
","TAS - Take the scenario of IVS vehicles using the service with incomplete information. The system has no fixed information about various systems and environmental conditions, and it adapts inconsistently and non-specifically so that the IVS monitoring is interfered with. The velocity of the other vehicle and distance are calculated inaccurately, which leads to the collision of the vehicles.","UNDERSEA - On the initial state the UUV is equipped with 5 on-board sensors (Sensor 1 ... Sensor 5). Each sensor got the same reading rate and consume the same amount of energy per reading where only 3 sensors are needed to be turned on to satisfy the throughput requirement of minimum readings per specific distance, and also 3 is the maximum number of sensors that can be turned on to not exceed resource usage requirement. During the run-time the Sensors 1, 2 and 3 are switched on. Measurements of Sensor 1 disagree with measurements of Sensor 2 and 3 which means the inconsistency occured and the Sensor 1 is experiencing a failure. To gain right information from all operating sensors the Sensor 1 is swtiched off and the Sensor 4 is switched on as compensation to gain correct measurements.","SWIM - SWIM addresses several issues that researchers face when developing and evaluating self-adaptation approaches for web applications. But it doesn’t have a mechanism to evaluate the power cost of different self-adaptation approaches, and this introduces uncertainty in the form of inefficient and power greedy adaptations. So, by adding this feature, it gives the adaptation manager a new dimension, the power cost of all the servers. And the user can put strict maximum power threshold that the servers need to conform to, and adapt accordingly or degrade gracefully.",,,
4,Sensor Failure ,Run-Time,"Sensor Failure uncertainty arises when any sensing device or component within a system fails to capture, process, or report values accurately. This could occur due to a multitude of reasons spanning hardware malfunctions, software errors, environmental factors, or even unforeseen circumstances like power outages or physical damage. This type of uncertainty is not limited to any specific type of system and can occur in any system that relies on sensors for data collection, monitoring, control, or decision-making processes.","The impact of this source of uncertainty is significant as it can cause execution issues during run-time. A malfunctioning sensor can lead to incorrect data being fed into the system, which in turn can result in erroneous decision-making or system behavior. This can be particularly problematic in real-time systems where decisions need to be made quickly and accurately.","HIGH - Without additional information or a backup system in place, sensor failure can create an unresolvable state in a Self-Adaptive System. This can hinder the system's ability to detect when adaptation is necessary or to select the most appropriate reconfiguration strategy. The severity of the impact can vary depending on the role of the sensor in the system and the availability of backup or redundancy measures.","Self-Adaptive Systems (SAS), with their inherent ability to adapt and reconfigure in response to sensor failures, can mitigate the impact of such uncertainties more effectively. They can detect anomalies, initiate corrective actions, or switch to redundant sensors, thereby maintaining system functionality. On the contrary, non-SAS are more susceptible to execution issues during run-time and may enter an unresolvable state due to sensor failures. ","Unpredictable environment, Sensor damage, Exceptional runtime situation","AMELIA - Consider a fleet management system that relies on accurate geolocation information from IoT devices installed in vehicles. If the sensors in some vehicles produce uncertain readings, it can lead to incorrect inferences about the vehicles' positions and trajectories. This can result in inefficient routing, delay","BSN - When testing a patient’s blood glucose level, we need to take a sample of the patient’s blood in order to successfully test the patient’s blood glucose level. When the sensor is unable to obtain a valid blood sample from the patient, the sensor will continue to work, but will return a NULL value.","DRAGONFLY - Flying drones are exposed to the elements while operating. Interference from antennas present in the flying environment can cause a drone to lose communication with the base and, as a result, not be able to report its location back to the base. As such, the drone operation is hindered and it might lead to unexpected events.","DEECO - The sensor failure may occur due to unpredictable weather conditions, manufacturing flaws, aging, or improper agent interaction. In the given example scenario of self-adaptation, the goal of a vehicle is to determine available parking spaces. Assuming that a vehicle has a sensor failure but the antenna for information exchange is still available, if the network of vehicles is dense within the ensemble radius, the vehicle can still receive enough information to complete its goal. Otherwise, when the vehicle is not included in an ensemble, it receives zero information, making completing the goal impossible. In another scenario, where both the sensor and the antenna are broken, the result is not achievable either.","UNDERSEA - An AUV created by Harbin Engineering University is used as an example in the paper to illustrate sensor failures and mitigation approaches. The AUV has implemented a fault diagnosis mechanism focused on sensors affecting the vehicle's position, such as the Doppler Velocity Log (DVL), optical fiber gyroscope, location sonar, height sonar, and depth sonar. This real-time mechanism allows the AUV to complete its voyage without the risk of losing trajectory or expected positions. In the case study, Sensor 3 and Sensor 2 experience degradation in different scenarios and sometimes simultaneously. In all cases, they are replaced by Sensor 1. However, since Sensor 1 requires more energy, it is preferable for the system to work with Sensors 2 and 3. This adaptation is seen when the degraded sensor is switched off and set to recover. After recovery, the UUV is reconfigured to its initial configuration. This introduces uncertainty as the time needed for sensor recovery or repair is unknown.",,
5,Sensor Noise,Run-Time,"Sensor Noise uncertainty refers to random disturbances that occur during the process of reading, filtering, and transferring data. These disturbances introduce unpredictable variations in the sensor readings, which can lead to inaccuracies and inconsistencies in the collected data. The noise may arise from various sources, including environmental factors, electronic interference, or inherent limitations of the sensor technology.","The presence of Sensor Noise Uncertainty can significantly impact the Self-Adaptive System. It can lead to inaccurate or unreliable data, which can in turn affect the system's ability to make accurate predictions, decisions, or adaptations. This can result in suboptimal decision-making, reduced system performance, or even system failure.","HIGH - This is because the quality and reliability of the data collected by the sensors are critical for the system's performance. If the data are corrupted by noise, it can lead to incorrect decisions or actions, which can have serious consequences for the system and its objectives.","Self-Adaptive Systems (SAS) are more effective at handling Sensor Noise Uncertainty compared to non-SAS. SAS can dynamically adjust to noise disturbances, employing techniques like noise filtering or signal processing, thereby maintaining data integrity. Non-SAS, lacking such adaptability, may suffer from compromised data quality due to persistent noise. The effectiveness can be gauged by comparing data quality or system performance under noisy conditions between SAS and non-SAS. A lower rate of decision errors or system failures in SAS indicates superior handling of Sensor Noise Uncertainty.","Ambiguity, Sensor damage","PISTAR - There is an example that shows the uncertainty is the variation of the available sensors which results in lower reliability and higher cost for the whole system. In this case, the sensors would be deactivated when the battery level is less than 2%, and they would be reactivated when the battery level achieved 90%. So it's unknown for the system of the exact number of running sensors during the runtime which would result in the delay of process and the increase of processing time, that is the lower reliability and higher energy cost.",,,,,,
6,Battery Level,Run-Time,"Battery Level uncertainty refers to the unpredictability associated with the power levels of battery-operated systems. This type of uncertainty arises when the remaining battery life of a system is unknown or cannot be accurately predicted. Factors contributing to this uncertainty can include variations in battery performance, changes in system power consumption, and environmental conditions that affect battery life.","The impact of Battery Level Uncertainty on a Self-Adaptive Systems can be significant. If the battery power levels run low or deplete unexpectedly, the system's ability to execute tasks can be compromised. In the worst-case scenario, the system may be forced to terminate its operations prematurely. This can lead to suboptimal decision-making, reduced system performance, and potential system failure.","HIGH - The unpredictability of battery levels can critically impact the system's performance and reliability. An unexpected drop in battery power can drastically disrupt the system's operational capabilities, potentially leading to abrupt termination of tasks. This can result in inefficiencies, resource wastage, and missed critical operations.","A Self-Adaptive System (SAS) solution can effectively handle Battery Level Uncertainty. Compared to non-SAS solutions, a SAS can reduce the likelihood of system failure due to unexpected battery depletion. This is achieved by enabling the system to adapt and respond to changes in battery level in real-time, such as by adjusting power consumption or switching to backup power sources. A useful metric for evaluating the effectiveness of a SAS in handling Battery Level Uncertainty is the system's uptime, which should be maximized even in the face of unexpected changes in battery level.",Unpredictable Environment,"DRAGONFLY - In the example of the medical payload drone delivery application described in the paper, when the interception point detects that the drone's battery power is below the expected threshold, the drone's behavior is adapted based on the distance to the destination and the wind conditions. To enable these adaptive functions, the SAS requires devices and sensors to periodically monitor the battery level, distance to the destination, and wind conditions. Additionally, a controller is needed to convert the detected uncertainty into events and behaviors that effectively control the functioning of the adaptive system.",,,,,,
7,Effector,Run-Time,"Effector uncertainty refers to an adaptation that modifies the execution environment in ways that were not initially anticipated or planned for. This type of uncertainty arises when the system's adaptive responses, designed to optimize performance or maintain functionality, inadvertently introduce new variables or conditions that were not accounted for in the original system design or operational plan.","The unpredictable nature of the uncertainty can significantly impact the Self-Adaptive System (SAS). The system's adaptive responses, while intended to improve performance or maintain functionality, can lead to unanticipated changes in the execution environment. This can create a state that prevents the SAS from selecting the most suitable reconfiguration strategy, potentially resulting in suboptimal decision-making, reduced system performance, or even system failure.","HIGH - The unpredictability of Effector Uncertainty can have a profound impact on the system's performance. Unanticipated changes in the execution environment, triggered by the system's adaptive responses, can disrupt optimal decision-making processes and compromise system functionality. This can lead to inefficient resource allocation, hindered performance, or in extreme cases, system instability.","A Self-Adaptive System (SAS) solution can effectively handle Effector Uncertainty. Compared to non-SAS solutions, a SAS can reduce the likelihood of system congestion due to unexpected changes in the execution environment. This is achieved by enabling the system to adapt and respond to these changes in real-time. A useful metric for evaluating the effectiveness of a SAS in handling Effector Uncertainty is the average time of the trip. In the event of an unexpected change in the execution environment, this time will be lower if the change is managed with an adaptive response, as opposed to without it.","Responsiveness, Adaptive Decision Uncertainty","DELTAIOT - A facility that stores a mote needs to be renovated. All network connections get disconnected whilst this goes on. To not lose the mote while renovations are ongoing, it needs to be moved. It is uncertain what the protocols are for moving the mote and how both connectivity to the pathway and packets should be maintained.","K8SCALAR - Extensive (re)shuffling of data occurs in distributed SQL engines when more instances of a database cluster are added or removed, requiring the movement of data across existing and new database instances. This process is necessary to maintain data consistency and ensure high parallelism in query execution. However, adding or removing a database instance can significantly increase the amount of data (re)shuffling. When the algorithm triggers a scaling decision that results in increased shuffling of data across existing and new database instances, it can unexpectedly raise the cost of running the distributed SQL engine. These (re)shuffling operations involve exchanging tuples between nodes during query execution, and they contribute to the overall complexity and resource consumption of the system. Therefore, careful consideration and optimization of the data (re)shuffling process are crucial to efficiently manage the scalability and cost-effectiveness of distributed SQL engines.","LOTUS - Lotus detected violation and notify running system to perform adaption, but running system is only monitored by execution trace, which makes it hard to access the adaption and the impact on environment.","TRAPP - Let's consider the importance of avoiding congested streets as an example that highlights the challenges faced by self-adaptive systems. One major concern arises from the inability to predict or adapt to unexpected situations, such as road congestion resulting from accidents or extreme weather conditions. The effectiveness of a self-adaptive system heavily relies on its ability to respond to dynamic changes in the environment and adjust accordingly. Failure to do so can result in serious inconveniences, particularly longer travel times. ",,,
8,Network Latency,Run-Time,"Network Latency uncertainty is a universal phenomenon that refers to the delay in data transmission over a network. It is the time taken for a data packet to travel from the source to the destination. This delay can occur in any system that relies on network communication, from simple data transfer operations to complex real-time systems","Network latency can significantly affect the performance and reliability of a Self-Adaptive System (SAS). It can lead to delays in data transmission, causing the system to make decisions based on outdated information. This can result in suboptimal decision-making, decreased system efficiency, and potential failure to meet real-time requirements. In extreme cases, it could lead to system instability or failure, especially in systems where timely data is critical for operation.","MEDIUM TO HIGH - The degree of severity of the impact of network latency largely depends on the time sensitivity of the system in question. In systems where real-time data is crucial, even minimal latency can lead to significant issues. As network latency increases, the reliability of the information decreases, potentially leading to confusion and hindrance in achieving the system's goals. In less time-sensitive systems, the impact of network latency might be less severe but can still lead to inefficiencies.","To mitigate the impact of network latency, systems can implement various strategies. For instance, Self-Adaptive Systems (SAS) can adjust their adaptation strategies in real-time to account for network latency. They can also simulate and compare adaptations based on delayed data and ideal data to evaluate and improve these strategies. For non-SAS systems, it's crucial to consider all possible edge scenarios related to network latency during the requirement specification and design phases to ensure the system can handle such uncertainties effectively.",Network Delay,"DEECO - High network latency may be due to the large distance between a sender and a receiver, the number of network participants, physical obstacles, electronic interference, and other environmental factors. Given that the vehicle's goal is to find a parking spot, significant network latencies can create confusion by showing certain parking spaces as available when they have actually just been taken, and vice versa.",,,,,,
9,Network Congestion,Run-Time,"Network Congestion uncertainty can appear in any system that relies on data transmission over shared network. This issue can potentially arise in various scenarios and impact any data transmission system, encompassing servers, websites, networks, communication channels, cloud platforms, or any other medium through which data is exchanged. The unpredictability of network usage by various parties and the resulting data load can lead to congestion at any point in the network, including routers, switches, or other links.","Network congestion can have a significant impact on the performance of Self-Adaptive Systems. It can lead to packet loss, which can disrupt the communication between different components of the system, potentially causing delays or failures in the adaptation process. This could result in the system not being able to adapt to changes in its environment as quickly or effectively as it should, which could affect the system's overall performance and reliability.","MEDIUM TO HIGH - The degree of severity of network congestion can vary from medium to high, depending on the specific system and its reliance on network communication. For systems that heavily rely on network communication for their operation, the severity could be high. However, for systems that are less dependent on network communication, or have effective congestion mitigation strategies in place, the severity could be medium.","By monitoring network conditions and packet loss rates, the Self-Adaptive System (SAS) could adjust its communication strategies to minimize the impact of congestion. For example, it might prioritize essential communications over less critical ones, or adjust the timing of communications to avoid peak congestion periods. In contrast,  a non-SAS does not have these adaptive capabilities, and could therefore be more severely affected by network congestion.","Network Overload, Data Traffic Overload","ZNN.COM - Imagine the final match of the World Cup is being streamed by millions worldwide, causing a surge in internet traffic. Concurrently, a breaking news story linked to Znn.com is posted on Reddit, triggering a massive influx of users to the site. The network near Znn.com's server, already strained by the streaming of the soccer match, becomes congested. This congestion impedes Znn.com's ability to handle the sudden increase in traffic, leading to delays and failures in delivering content. As a result, many users are unable to access the news story on Znn.com, or even reach the site at all, illustrating the impact of network congestion on the performance of a self-adaptive system.",,,,,,
10,Server Failure,Run-Time,"Server Failure uncertainty is an occurrence in any system that relies on servers for its operation. It refers to the unexpected shutdown or malfunction of a server due to various reasons such as hardware malfunctions, external attacks like DDOS, heavy traffic, or human errors.  While some systems have mechanisms to manage server failure, these mechanisms may not fully address the complexity and variety of real-world server failure scenarios. Therefore, there is a need for systems to have robust strategies to simulate and adapt to server failures.","The impact of a server failure is significant and can affect various aspects of a system. Primarily, in a client-server architecture it disrupts service availability, preventing clients from making content requests or accessing services. This necessitates the system to reassign clients to a new server promptly. If not handled properly, server failure can impair the system's ability to replicate run-time conditions accurately, hindering the comparison of different approaches between runs. This can lead to data loss, service slowdown, and an inability for developers to assess how well their services will adapt to server failure.","MEDIUM TO HIGH - The degree of severity of a server failure can range from moderate to critical, depending on the extent of the failure. If a single server fails, it can result in temporary service disruption and potential business loss. However, if multiple or all servers fail, it can lead to a complete service outage, which can be catastrophic for the system and the business.
","The ability of a system to handle server failure can significantly influence its resilience and performance. In non-Self-Adaptive Systems (non-SAS), server failure often requires manual intervention, which can be time-consuming and disruptive. This could lead to significant customer loss, especially for commercial websites. On the other hand, Self-Adaptive Systems (SAS) can adapt to unexpected conditions by adjusting the server pool or the content mode, thereby minimizing the impact of server failure. In a SAS, the system should be able to automatically rectify the server failure, determine whether to replace the failed server and take measures to prevent further failures.",Server Downtime,"SWIM - The ""server failure"" uncertainty in the context of the SWIM paper refers to the unpredictable event of a server malfunctioning or becoming unavailable. This uncertainty can significantly impact the performance and reliability of self-adaptive systems (SAS). For instance, consider a web application that relies on multiple servers for load balancing. If one server fails unexpectedly, the system must adapt to redistribute the load among the remaining servers. This adaptation could involve complex decisions, such as whether to restart the failed server, replace it, or redistribute its load. The unpredictability of server failures makes them a significant source of uncertainty that SAS must be designed to handle effectively. The SWIM approach is designed to evaluate and compare different strategies for managing such uncertainties.",,,,,,
